,state,total
1,California ,156896
2,Colorado,630
3,Connecticut ,19534
4,District of Columbia,104
5,Florida ,20499
6,Georgia ,94957
7,Illinois,132981
8,Indiana,155949
9,Kansas,35782
10,Kentucky,15473
11,Maryland ,4332
12,Mansachusetis,1609
13,Michigan,34157
14,Missouri,35240
15,Nebraska,4946
16,New Jersey ,118865
17,New York ,42926
18,Ohio,21062
19,Pennsylvania ,169711
20,Rhode Island,4083
21,Tennessee ,22826
22,Virginia,4442
23,Washington ,10047
24,West Virginia ,13554
25,Wisconsin,15979
26,Alabama and Mississippi,11704
27,Arkansas and Oklahoma ,7728
28,Hawaii and Oregon,17569
29,Iowa and Minnesota ,32302
30,Louisiana and Texas,227874
31,Montana and Idaho ,720
32,New Hampehire Maine Vermont Delaware,23788
33,North and South Carolina,29609
34,Utah Nevada Arizona,2199
35,Total ,1490072
